"REFERENCIA","CREDITOS","OFERTADA","NOMBRE","CURSO","CARACTER","DURACION","Unidad_Temporal_(Cuatrimestre)","IDIOMAS_DE_IMPARTICION","TITULACION_CODIGO","CODIGO"
"51486",6,"Sí  ","Introducción a la Probabilidad y a la Estadística",2,"","2º Semestre",,"",1073,207
"51493",6,"Sí  ","Ampliación de Álgebra Lineal y Geometría",2,"","2º Semestre",,"",1073,208
"51494",6,"Sí  ","Análisis Matemático IV",2,"","2º Semestre",,"",1073,209
"51492",6,"No  ","Topología General",3,"","1º Semestre",,"",1073,301
"51491",6,"No  ","Métodos Numéricos I",3,"","1º Semestre",,"",1073,302
"51498",6,"No  ","Ecuaciones Diferenciales II",3,"","1º Semestre",,"",1073,303
"51496",6,"No  ","Geometría Diferencial de Curvas y Superficies",3,"","2º Semestre",,"",1073,307
"51497",6,"No  ","Métodos Numéricos II",3,"","2º Semestre",,"",1073,308
"51507",6,"No  ","Variable Compleja",3,"","2º Semestre",,"",1073,309
"51500",6,"No  ","Probabilidad",4,"","1º Semestre",,"",1073,401
"51501",6,"No  ","Teoría de la Medida e Integración",4,"","1º Semestre",,"",1073,402
"51502",6,"No  ","Topología Algebraica Básica",4,"","1º Semestre",,"",1073,403
"51503",6,"No  ","Análisis Numérico",4,"","2º Semestre",,"",1073,406
"51504",6,"No  ","Geometría Diferencial Global de Superficies",4,"","2º Semestre",,"",1073,407
"51505",6,"No  ","Inferencia Estadística",4,"","2º Semestre",,"",1073,408
"51499",6,"No  ","Optimización",5,"","1º Semestre",,"",1073,501
"51521",6,"No  ","Ampliación de Teoría de la Probabilidad",5,"","1º Semestre",,"",1073,502
"51526",6,"No  ","Ecuaciones en Derivadas Parciales y Análisis de Fourier",5,"","1º Semestre",,"",1073,503
"51506",6,"No  ","Teoría de Cuerpos",5,"","2º Semestre",,"",1073,504
"51536",6,"No  ","Modelización",5,"","2º Semestre",,"",1073,505
"51539",12,"No  ","Trabajo Fin de Grado (Matemáticas)",5,"","2º Semestre",,"",1073,511
"53303",13,5,"Sí  ","Práctias Externas",4,"","2º Semestre",,"",1056,504
"50658",6,"Sí  ","Cálculo para la Computación",1,"","1º Semestre",,"",1041,101
"50659",6,"Sí  ","Fundamentos Físicos de la Informática",1,"","1º Semestre",,"",1041,102
"50660",6,"Sí  ","Fundamentos de Electrónica",1,"","1º Semestre",,"",1041,103
"50661",6,"Sí  ","Fundamentos de la Programación",1,"","1º Semestre",,"Solo un grupo",1041,104
"50662",6,"Sí  ","Matemática Discreta",1,"","1º Semestre",,"",1041,105
"50663",6,"Sí  ","Estructuras Algebraicas para la Computación",1,"","2º Semestre",,"",1041,106
